 GOOGL
 FB
 MSFT
 NFLX
 BABA
 AMZN
 CSCO
 ZM
 PYPL
 SWDBF
 DTEGY
 T
 NPSNY
 EBAY
 SHOP
 WMT
 ETSY
 AAPL
 JPM
 DIS
 BBY
 CRM
 NYT
 ZG
 ADBE
 TGT
 DBX
 OKTA
 WFC
 HD
 UPS
 SPOT
 INST
 TIIAY
 YNDX
 ADRNY
 ING
 SSTK
 BKRIY
 CNVAF
 ATUS
 SAN
 PRISY
 BBVA
