gvkey,datadate,fyear,tic,conm,curcd,revt,sale,xad,exchg
003980,09/30/2013,2013,DIS,DISNEY (WALT) CO,USD,45041.0000,45041.0000,2600.0000,11
003980,09/30/2014,2014,DIS,DISNEY (WALT) CO,USD,48813.0000,48813.0000,2800.0000,11
003980,09/30/2015,2015,DIS,DISNEY (WALT) CO,USD,52465.0000,52465.0000,2600.0000,11
003980,09/30/2016,2016,DIS,DISNEY (WALT) CO,USD,55632.0000,55632.0000,2900.0000,11
003980,09/30/2017,2017,DIS,DISNEY (WALT) CO,USD,55137.0000,55137.0000,2600.0000,11
003980,09/30/2018,2018,DIS,DISNEY (WALT) CO,USD,59434.0000,59434.0000,2800.0000,11
003980,09/30/2019,2019,DIS,DISNEY (WALT) CO,USD,69570.0000,69570.0000,4300.0000,11
003980,09/30/2020,2020,DIS,DISNEY (WALT) CO,USD,65388.0000,65388.0000,4700.0000,11
005680,01/31/2011,2010,HD,HOME DEPOT INC,USD,67997.0000,67997.0000,864.0000,11
005680,01/31/2012,2011,HD,HOME DEPOT INC,USD,70395.0000,70395.0000,846.0000,11
005680,01/31/2013,2012,HD,HOME DEPOT INC,USD,74754.0000,74754.0000,831.0000,11
005680,01/31/2014,2013,HD,HOME DEPOT INC,USD,78812.0000,78812.0000,865.0000,11
005680,01/31/2015,2014,HD,HOME DEPOT INC,USD,83176.0000,83176.0000,884.0000,11
005680,01/31/2016,2015,HD,HOME DEPOT INC,USD,88519.0000,88519.0000,868.0000,11
005680,01/31/2017,2016,HD,HOME DEPOT INC,USD,94595.0000,94595.0000,955.0000,11
005680,01/31/2018,2017,HD,HOME DEPOT INC,USD,100904.0000,100904.0000,995.0000,11
005680,01/31/2019,2018,HD,HOME DEPOT INC,USD,108203.0000,108203.0000,1156.0000,11
005680,01/31/2020,2019,HD,HOME DEPOT INC,USD,110225.0000,110225.0000,1186.0000,11
007866,12/31/2010,2010,NYT,NEW YORK TIMES CO  -CL A,USD,2393.4630,2393.4630,,11
007866,12/31/2011,2011,NYT,NEW YORK TIMES CO  -CL A,USD,2323.4010,2323.4010,,11
007866,12/31/2012,2012,NYT,NEW YORK TIMES CO  -CL A,USD,1990.0800,1990.0800,,11
007866,12/31/2013,2013,NYT,NEW YORK TIMES CO  -CL A,USD,1577.2300,1577.2300,86.0000,11
007866,12/31/2014,2014,NYT,NEW YORK TIMES CO  -CL A,USD,1588.5280,1588.5280,89.5000,11
007866,12/31/2015,2015,NYT,NEW YORK TIMES CO  -CL A,USD,1579.2150,1579.2150,83.4000,11
007866,12/31/2016,2016,NYT,NEW YORK TIMES CO  -CL A,USD,1555.3420,1555.3420,89.8000,11
